wall_clock,entity_id,seq,t_publish_ms,t_orion_ms,t_crate_ms,backlog_ms
1788199405.116,SynthZone:0009,5,1.1,119.3,414.0,294.7
1788199407.289,SynthZone:0002,5,1.5,117.8,125.8,8.0
1788199407.918,SynthZone:0006,5,0.4,109.1,114.9,5.8
1788199409.038,SynthZone:0024,5,1.6,118.1,122.6,4.5
1788199409.241,SynthZone:0043,5,3.3,119.0,1175.0,1056.0
1788199409.243,SynthZone:0019,5,1.4,116.8,120.5,3.8
1788199409.273,SynthZone:0038,5,0.6,112.8,2095.9,1983.1
1788199409.322,SynthZone:0036,5,1.7,117.3,3364.2,3247.0
1788199409.406,SynthZone:0003,5,1.0,115.8,120.8,5.0
1788199409.875,SynthZone:0020,5,3.0,117.5,130.6,13.1
1788199410.273,SynthZone:0046,5,1.2,114.4,1059.7,945.4
1788199410.295,SynthZone:0031,5,0.6,111.1,959.3,848.2
1788199410.306,SynthZone:0034,5,1.7,121.6,441.9,320.3
1788199410.321,SynthZone:0041,5,0.9,113.9,765.3,651.4
1788199410.323,SynthZone:0028,5,1.0,124.8,567.4,442.6
1788199410.33,SynthZone:0012,5,3.8,122.9,128.3,5.4
1788199410.489,SynthZone:0016,5,1.7,117.0,122.0,5.0
1788199410.648,SynthZone:0014,5,0.5,111.9,118.0,6.2
1788199410.703,SynthZone:0013,5,1.0,116.0,121.6,5.6
1788199410.793,SynthZone:0007,5,1.1,115.6,120.0,4.5
1788199411.065,SynthZone:0025,5,1.0,114.3,118.8,4.5
1788199411.124,SynthZone:0004,5,1.7,114.0,117.5,3.5
1788199411.36,SynthZone:0010,5,1.0,115.8,121.2,5.4
1788199411.544,SynthZone:0008,5,1.3,116.5,121.6,5.1
1788199412.345,SynthZone:0030,5,0.9,111.1,114.4,3.3
1788199412.643,SynthZone:0005,5,0.5,106.4,108.4,2.0
1788199413.094,SynthZone:0023,5,0.8,114.9,119.5,4.7
1788199413.36,SynthZone:0045,5,0.5,106.4,855.3,748.9
1788199413.384,SynthZone:0049,5,0.4,106.1,737.3,631.1
1788199413.458,SynthZone:0040,5,1.0,114.4,2532.4,2418.0
1788199413.643,SynthZone:0021,5,0.8,112.7,117.9,5.2
1788199414.397,SynthZone:0011,5,3.3,117.1,120.1,3.0
1788199414.538,SynthZone:0018,5,0.3,109.0,112.2,3.2
1788199415.433,SynthZone:0050,5,1.2,115.1,2430.3,2315.2
1788199415.446,SynthZone:0037,5,1.0,119.0,2319.4,2200.4
1788199415.57,SynthZone:0015,5,0.4,110.3,115.2,4.9
1788199416.477,SynthZone:0027,5,0.6,108.9,4092.3,3983.4
1788199416.486,SynthZone:0001,5,0.8,113.7,124.6,11.0
1788199416.491,SynthZone:0017,5,0.8,53.9,61.3,7.4
1788199416.498,SynthZone:0032,5,2.8,117.6,2210.6,2092.9
1788199416.513,SynthZone:0048,5,1.6,120.4,4528.5,4408.1
1788199417.461,SynthZone:0039,5,1.1,115.5,4511.0,4395.5
1788199417.527,SynthZone:0047,5,0.4,110.7,2828.6,2717.9
1788199417.565,SynthZone:0029,5,0.5,81.7,4281.7,4200.0
1788199417.88,SynthZone:0022,5,1.1,112.3,116.9,4.6
1788199418.524,SynthZone:0042,5,0.9,299.9,3387.3,3087.4
1788199419.573,SynthZone:0035,5,1.0,116.1,2236.7,2120.7
1788199420.554,SynthZone:0033,5,0.8,112.9,1984.9,1872.0
1788199420.61,SynthZone:0026,5,0.7,112.0,4016.1,3904.0
1788199422.615,SynthZone:0044,5,0.9,112.3,1054.5,942.2
1788199456.514,SynthZone:0002,10,1.7,115.6,746.5,630.9
1788199456.514,SynthZone:0009,10,2.1,117.9,269.9,152.0
1788199457.525,SynthZone:0038,10,1.6,115.5,1065.7,950.2
1788199457.527,SynthZone:0043,10,1.8,118.0,541.1,423.1
1788199457.617,SynthZone:0036,10,1.2,112.1,426.9,314.9
1788199458.608,SynthZone:0016,10,1.4,115.1,119.4,4.2
1788199459.155,SynthZone:0019,10,1.8,115.6,119.6,4.0
1788199459.482,SynthZone:0024,10,0.9,115.8,121.5,5.6
1788199459.579,SynthZone:0003,10,1.3,113.4,115.7,2.3
1788199459.647,SynthZone:0028,10,1.2,122.1,336.7,214.5
1788199460.334,SynthZone:0006,10,1.1,113.7,118.1,4.4
1788199460.392,SynthZone:0013,10,0.9,115.2,119.3,4.1
1788199460.538,SynthZone:0007,10,1.4,111.1,113.4,2.3
1788199460.63,SynthZone:0041,10,1.9,119.2,1583.4,1464.2
1788199461.265,SynthZone:0010,10,4.4,121.8,128.4,6.6
1788199461.266,SynthZone:0020,10,4.2,123.3,127.8,4.5
1788199461.627,SynthZone:0048,10,1.5,116.6,2215.7,2099.1
1788199461.628,SynthZone:0040,10,1.3,116.3,1804.4,1688.0
1788199461.629,SynthZone:0034,10,1.3,115.9,1907.1,1791.2
1788199461.759,SynthZone:0004,10,5.5,119.9,124.6,4.6
1788199461.786,SynthZone:0005,10,1.1,115.5,119.9,4.4
1788199461.996,SynthZone:0023,10,1.0,120.8,126.2,5.4
1788199462.725,SynthZone:0050,10,0.4,106.0,2211.1,2105.1
1788199462.788,SynthZone:0021,10,0.9,114.0,118.7,4.7
1788199463.16,SynthZone:0014,10,0.8,116.8,121.5,4.7
1788199463.172,SynthZone:0011,10,4.8,93.0,98.0,5.0
1788199463.192,SynthZone:0018,10,1.2,117.4,123.6,6.2
