wall_clock,entity_id,seq,t_publish_ms,t_orion_ms,t_crate_ms,backlog_ms
1788198082.522,SynthZone:0006,5,1.2,115.5,386.0,270.5
1788198082.938,SynthZone:0003,5,1.1,114.3,119.9,5.6
1788198084.52,SynthZone:0009,5,1.2,118.4,337.5,219.1
1788198085.531,SynthZone:0010,5,1.2,116.3,755.2,638.9
1788198088.243,SynthZone:0001,5,2.2,117.0,123.1,6.1
1788198088.544,SynthZone:0007,5,1.4,116.9,863.2,746.3
1788198089.181,SynthZone:0002,5,1.2,117.5,123.9,6.4
1788198090.59,SynthZone:0008,5,0.8,112.9,649.0,536.1
1788198090.602,SynthZone:0005,5,1.4,118.9,761.7,642.8
1788198093.639,SynthZone:0004,5,1.3,114.9,859.0,744.1
1788198134.033,SynthZone:0006,10,1.2,117.1,1155.0,1038.0
1788198134.199,SynthZone:0003,10,1.1,115.1,120.6,5.6
1788198134.992,SynthZone:0009,10,1.0,114.3,954.4,840.1
1788198135.486,SynthZone:0001,10,1.4,113.4,116.9,3.5
1788198135.962,SynthZone:0010,10,1.3,115.0,1070.7,955.7
1788198136.039,SynthZone:0007,10,1.2,116.5,648.3,531.8
1788198137.985,SynthZone:0005,10,1.6,118.1,123.0,4.9
1788198138.871,SynthZone:0002,10,0.6,112.9,119.4,6.5
1788198141.032,SynthZone:0008,10,1.3,115.8,435.8,320.1
1788198146.149,SynthZone:0004,10,1.0,116.6,967.9,851.3
1788198183.532,SynthZone:0010,15,0.9,111.3,341.2,229.9
1788198184.449,SynthZone:0009,15,1.1,119.1,282.7,163.5
1788198184.45,SynthZone:0007,15,1.2,116.3,395.3,279.0
1788198184.875,SynthZone:0001,15,1.4,115.5,123.3,7.8
1788198185.511,SynthZone:0006,15,0.9,112.5,1304.3,1191.8
1788198186.954,SynthZone:0003,15,1.0,115.5,120.7,5.2
1788198187.555,SynthZone:0005,15,1.0,115.3,540.0,424.7
1788198188.571,SynthZone:0008,15,1.0,114.5,967.1,852.6
1788198192.598,SynthZone:0002,15,1.6,116.2,121.8,5.6
1788198194.651,SynthZone:0004,15,1.0,117.4,964.0,846.5
1788198234.232,SynthZone:0007,20,1.2,115.8,356.7,240.9
1788198235.177,SynthZone:0006,20,1.2,115.3,1271.1,1155.8
1788198235.229,SynthZone:0010,20,1.2,114.4,542.3,428.0
1788198235.501,SynthZone:0003,20,1.3,116.2,121.7,5.5
1788198236.093,SynthZone:0001,20,1.3,116.7,123.0,6.3
1788198236.194,SynthZone:0009,20,2.1,116.9,1284.2,1167.4
1788198236.304,SynthZone:0005,20,0.7,108.5,660.6,552.1
1788198237.261,SynthZone:0008,20,1.0,114.0,752.0,638.1
1788198242.709,SynthZone:0002,20,0.5,105.9,108.1,2.2
1788198244.286,SynthZone:0004,20,1.4,117.0,229.0,112.0
1788198282.69,SynthZone:0006,25,1.4,117.3,1230.6,1113.2
1788198283.629,SynthZone:0005,25,0.6,110.6,547.0,436.4
1788198284.501,SynthZone:0001,25,1.1,115.4,120.9,5.6
1788198284.621,SynthZone:0003,25,1.4,115.1,119.8,4.7
1788198284.643,SynthZone:0009,25,2.0,115.3,537.1,421.8
1788198286.636,SynthZone:0007,25,1.4,116.9,650.1,533.2
1788198287.715,SynthZone:0008,25,1.2,115.2,638.9,523.7
1788198289.725,SynthZone:0010,25,0.8,107.3,426.9,319.6
1788198292.643,SynthZone:0002,25,0.9,114.1,118.7,4.6
1788198293.719,SynthZone:0004,25,1.0,115.3,331.3,216.0
