wall_clock,entity_id,seq,t_publish_ms,t_orion_ms,t_crate_ms,backlog_ms
1788198746.089,SynthZone:0010,5,1.1,112.3,527.8,415.5
1788198746.195,SynthZone:0018,5,1.3,116.8,725.5,608.7
1788198746.865,SynthZone:0009,5,0.5,112.8,119.5,6.8
1788198747.132,SynthZone:0013,5,1.2,114.7,853.3,738.6
1788198747.156,SynthZone:0021,5,1.1,116.0,744.9,628.9
1788198749.147,SynthZone:0014,5,1.5,114.3,750.2,636.0
1788198750.161,SynthZone:0019,5,1.5,115.0,637.6,522.6
1788198750.187,SynthZone:0022,5,1.1,113.6,1059.6,946.0
1788198750.251,SynthZone:0025,5,0.5,106.2,525.4,419.3
1788198750.514,SynthZone:0006,5,1.4,114.5,119.0,4.5
1788198751.493,SynthZone:0007,5,1.7,118.2,124.2,6.0
1788198752.063,SynthZone:0004,5,1.8,116.1,120.9,4.9
1788198752.204,SynthZone:0015,5,1.0,113.9,746.4,632.5
1788198752.927,SynthZone:0005,5,1.8,117.9,123.0,5.1
1788198753.243,SynthZone:0024,5,1.0,112.0,843.5,731.5
1788198753.419,SynthZone:0008,5,1.1,116.2,123.7,7.4
1788198754.299,SynthZone:0012,5,1.4,116.5,437.3,320.8
1788198754.791,SynthZone:0002,5,2.5,117.5,122.4,4.9
1788198755.298,SynthZone:0023,5,1.4,117.7,856.4,738.8
1788198755.361,SynthZone:0016,5,1.4,117.0,754.8,637.9
1788198755.363,SynthZone:0017,5,3.3,119.6,1174.9,1055.3
1788198756.385,SynthZone:0011,5,1.1,114.9,434.2,319.4
1788198756.903,SynthZone:0003,5,1.3,113.9,119.7,5.8
1788198756.947,SynthZone:0001,5,1.4,116.1,122.4,6.3
1788198757.361,SynthZone:0020,5,1.3,118.2,1176.7,1058.5
1788198792.96,SynthZone:0010,10,0.9,114.4,325.2,210.8
1788198795.718,SynthZone:0009,10,1.0,117.1,122.0,4.9
1788198796.046,SynthZone:0018,10,1.5,116.0,643.4,527.3
1788198797.085,SynthZone:0022,10,1.1,111.1,638.0,526.9
1788198797.106,SynthZone:0021,10,1.1,113.7,1265.8,1152.1
1788198798.089,SynthZone:0014,10,0.4,105.8,422.7,316.8
1788198798.1,SynthZone:0013,10,0.7,106.8,524.5,417.7
1788198799.157,SynthZone:0025,10,1.7,116.0,331.3,215.2
1788198799.449,SynthZone:0004,10,1.1,117.4,122.7,5.3
1788198800.73,SynthZone:0006,10,1.3,114.8,119.3,4.6
1788198801.144,SynthZone:0007,10,0.8,111.7,114.4,2.7
1788198801.168,SynthZone:0017,10,1.3,114.9,750.0,635.0
1788198801.205,SynthZone:0019,10,1.4,115.4,328.4,213.0
1788198801.217,SynthZone:0024,10,1.5,114.2,748.4,634.3
1788198802.167,SynthZone:0015,10,1.3,114.7,854.8,740.1
1788198802.255,SynthZone:0016,10,1.2,115.2,745.1,629.9
1788198802.515,SynthZone:0002,10,1.0,111.4,113.8,2.4
1788198803.109,SynthZone:0005,10,0.9,109.7,112.0,2.3
1788198803.464,SynthZone:0008,10,1.2,116.8,123.6,6.8
1788198803.573,SynthZone:0001,10,1.7,117.2,122.0,4.9
1788198804.227,SynthZone:0020,10,0.9,115.3,852.5,737.3
